Name,Active substance,Amount of substance,Form,Prescription type
Apra-swift,Aripiprazolum 15 mg,15 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Apra-swift,Aripiprazolum 30 mg,30 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Zentel,Albendazolum 400,400 mg/20 ml,Zawiesina doustna,Rp
Prestilol,Bisoprololi fumaras 5 mg + Perindoprilum argininum 5 mg,5 mg + 5 mg,Tabletki powlekane,Rp
Prestilol,Bisoprololi fumaras 5 mg + Perindoprilum argininum 10 mg,5 mg + 10 mg,Tabletki powlekane,Rp
Prestilol,Bisoprololi fumaras 10 mg + Perindoprilum argininum 5 mg,10 mg + 5 mg,Tabletki powlekane,Rp
Prestilol,Bisoprololi fumaras 10 mg + Perindoprilum argininum 10 mg,10 mg + 10 mg,Tabletki powlekane,Rp
Symformin XR,Metformini hydrochloridum 500 mg,500 mg,Tabletki o przedłużonym uwalnianiu,Rp
Symformin XR,Metformini hydrochloridum 750 mg,750 mg,Tabletki o przedłużonym uwalnianiu,Rp
Symformin XR,Metformini hydrochloridum 1000 mg,1000 mg,Tabletki o przedłużonym uwalnianiu,Rp
Cordarone,Amiodaroni hydrochloridum 200 mg,200 mg,Tabletki,Rp
Desferal,Deferoxamini mesilas 500 mg,500 mg,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Apiprax,Aripiprazolum 15 mg,15 mg,Tabletki,Rp
Tenaxum,Rilmenidinum 1 mg,1 mg,Tabletki,Rp
Agapurin SR 600,Pentoxifyllinum 600 mg,600 mg,Tabletki o przedłużonym uwalnianiu,Rp
Norifaz,Natrii risedronas 75 mg,75 mg,Tabletki powlekane,Rp
Azelastin POS,Azelastini hydrochloridum,1 mg/ml,Aerozol do nosa. roztwór,OTC
Ceglar,Valganciclovirum w postaci chlorowodorku: 496.3 mg,450 mg,Tabletki powlekane,Rp
Sildenafil Medreg,Sildenafili citras 100 mg,100 mg,Tabletki powlekane,Rp
Kvelux SR,Quetiapini fumaras 57.56 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rp
Kvelux SR,Quetiapini fumaras 230.24 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rp
Kvelux SR,Quetiapini fumaras 345.36 mg,300 mg,Tabletki o przedłużonym uwalnianiu,Rp
Kvelux SR,Quetiapinum 460.48 mg,400 mg,Tabletki o przedłużonym uwalnianiu,Rp
Fexofenadine hydrochloride Cipla,Fexofenadini hydrochloridum 120 mg,120 mg,Tabletki powlekane,Rp
Fexofenadine hydrochloride Cipla,Fexofenadini hydrochloridum 180 mg,180 mg,Tabletki powlekane,Rp
Signifor,Pasireotidum 20 mg,20 mg,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań,Rp
Signifor,Pasireotidum 40 mg,40 mg,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań,Rp
Signifor,Pasireotidum 60 mg,60 mg,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań,Rp
Krople żołądkowe Amara,Hyperici intractum 24 ml/100 ml + Menthae piperitae tinctura 26.5 ml/100 ml + Valerianae tinctura 24.5 ml/100 ml + Amara tinctura 25 ml/100 ml,-,Krople doustne. roztwór,OTC
Ulcamed,Bismuthi (III) oxydum 303.03 mg w postaci bizmutu potasu amonowego cytrynianu,120 mg,Tabletki powlekane,Rp
Moloxin,Moxifloxacini hydrochloridum,400 mg/250 ml,Roztwór do infuzji,Rp
Solderol,Cholecalciferolum 7000 j.m.,7000 j.m.,Tabletki powlekane,Rp
Solderol,Cholecalciferolum 30000 j.m.,30000 j.m.,Tabletki powlekane,Rp
Ultrapiryna Plus,Acidum acetylsalicylicum 500 mg + Acidum ascorbicum 300 mg + Calcium 200 mg,(500 mg + 300 mg + 200 mg) /saszetkę,Proszek musujący,OTC
Midiana,Drospirenonum 3 mg + Ethinylestradiolum 0.03 mg,3 mg + 0.03 mg,Tabletki powlekane,Rp
Ovixan,Mometasoni furoas 1 mg/g,1 mg/g,Krem,Rp
Ovixan,Mometasoni furoas 1 mg/g,1 mg/g,Roztwór na skórę,Rp
Ketilept retard,Quetiapinum 50 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rp
Ketilept retard,Quetiapinum 150 mg,150 mg,Tabletki o przedłużonym uwalnianiu,Rp
Ketilept retard,Quetiapinum 200 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rp
Ketilept retard,Quetiapinum 300 mg,300 mg,Tabletki o przedłużonym uwalnianiu,Rp
Ketilept retard,Quetiapinum 400 mg,400 mg,Tabletki o przedłużonym uwalnianiu,Rp
Grofibrat S,Fenofibratum 160 mg,160 mg,Tabletki powlekane,Rp
Grofibrat S,Fenofibratum 215 mg,215 mg,Tabletki powlekane,Rp
Velbienne mini,Estradioli valeras 1 mg + Dienogestum 2 mg,1 mg + 2 mg,Tabletki powlekane,Rp
Heligen Neo,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,Rp
Liprolog KwikPen,Insulinum lisprum 200 j.m./ml,200 j.m./ml,Roztwór do wstrzykiwań,Rp
Heligen Neo,Omeprazolum 40 mg,40 mg,Kapsułki dojelitowe. twarde,Rp
Colchicine RPH,Colchicinum 500 mcg,500 mcg,Tabletki,Rp
Adrenalina Aguettant,Adrenaline Acid Tartrate 1 mg/ 10 ml,1 mg/10 ml,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Levomethadone Hydrochloride Molteni,Levomethadoni hydrochloridum 5 mg/ml,5 mg/ml,Roztwór doustny,Rpw
Methylprednisolone Sopharma,Methylprednisoloni natrii succinas 53.03 mg,40 mg,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Methylprednisolone Sopharma,Methylprednisoloni natrii succinas 331.48 mg,250 mg,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Abasaglar,Insulinum glargine 100 j.m./ml,100 j.m./ml,Roztwór do wstrzykiwań,Rp
Pantoprazol Aurovitas,Pantoprazolum natricum sesquihydricum 45.112 mg,40 mg,Tabletki dojelitowe,Rp
Salson,Gliclazidum 60 mg,60 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Symazide MR 60 mg,Gliclazidum 60 mg,60 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Valzek,Valsartanum 80 mg,80 mg,Tabletki,Rp
Valzek,Valsartanum 160 mg,160 mg,Tabletki,Rp
Kventiax SR,Quetiapini fumaras 172.7 mg,150 mg,Tabletki o przedłużonym uwalnianiu,Rp
Kventiax SR,Quetiapini fumaras 230.27 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rp
Kventiax SR,Quetiapini fumaras 345.4 mg,300 mg,Tabletki o przedłużonym uwalnianiu,Rp
Hydroxyzinum Hasco,Hydroxyzini hydrochloridum 10 mg/5 ml,10 mg/5 ml,Syrop,Rp
Aryzalera,Aripiprazolum 5 mg,5 mg,Tabletki,Rp
Aryzalera,Aripiprazolum 10 mg,10 mg,Tabletki,Rp
Aryzalera,Aripiprazolum 15 mg,15 mg,Tabletki,Rp
Aryzalera,Aripiprazolum 30 mg,30 mg,Tabletki,Rp
Dexamethasone phosphate SF,Dexamethasoni natrii phosphas 4.372 mg/ml,4 mg/ml,Roztwór do wstrzykiwań,Rp
Ambroxol Dr.Max,Ambroxoli hydrochloridum 15 mg/ 5 ml,15 mg/5 ml,Syrop,OTC
Ambroxol Dr.Max,Ambroxoli hydrochloridum 30 mg/ 5 ml,30 mg/5 ml ,Syrop,OTC
Sastium,Sertralinum 50 mg,50 mg,Tabletki powlekane,Rp
Sastium,Sertralinum 100 mg,100 mg,Tabletki powlekane,Rp
Canesten,Clotrimazolum 500 mg,500 mg,Kapsułki dopochwowe. miękkie,OTC
Canesten,Clotrimazolum 500 mg,500 mg,Tabletki dopochwowe,OTC
Nomefren,Nitrazepamum 5 mg,5 mg,Tabletki,Rp
Oxyrin Apteo Med,Oxymetazolini hydrochloridum 0.5 mg/ml,0.5 mg/ml,Aerozol do nosa. roztwór,OTC
Doreta SR,Tramadoli hydrochloridum 75 mg + Paracetamolum 650 mg,75 mg + 650 mg,Tabletki o przedłużonym uwalnianiu,Rp
Cefepim MIP Pharma,Cefepimi dihydrochloridum 1 g,1 g,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Cefepim MIP Pharma,Cefepimi dihydrochloridum 2 g,2 g,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Trulicity,Dulaglutidum 0.75 mg/0.5 ml,0.75 mg/0.5 ml,Roztwór do wstrzykiwań we wstrzykiwaczu,Rp
Trulicity,Dulaglutidum 1.5 mg/0.5 ml,1.5 mg/0.5 ml,Roztwór do wstrzykiwań we wstrzykiwaczu,Rp
Tadalafil Mylan,Tadalafilum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Tadalafil Mylan,Tadalafilum 5 mg,5 mg,Tabletki powlekane,Rp
Tadalafil Mylan,Tadalafilum 10 mg,10 mg,Tabletki powlekane,Rp
Tadalafil Mylan,Tadalafilum 20 mg,20 mg,Tabletki powlekane,Rp
Brimica Genuair,Aclidinii bromidum 340 mcg + Formoteroli fumaras dihydricus 12 mcg,340 mcg + 12 mcg,Proszek do inhalacji,Rp
Moventig,Naloxegolum 12.5 mg,12.5 mg,Tabletki powlekane,Rp
Mirzaten,Mirtazapinum 30 mg,30 mg,Tabletki powlekane,Rp
Moventig,Naloxegolum 25 mg,25 mg,Tabletki powlekane,Rp
Klacid Uno,Clarithromycinum 500 mg,500 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Goprazol Max,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,OTC
Izotek 10 mg,Isotretinoinum 10 mg,10 mg,Kapsułki miękkie,Rp
Duloxetine Lilly,Duloxetinum 30 mg,30 mg,Kapsułki dojelitowe. twarde,Rp
Duloxetine Lilly,Duloxetinum 60 mg,60 mg,Kapsułki dojelitowe. twarde,Rp
AlergoTeva,Desloratadinum 5 mg,5 mg,Tabletki powlekane,OTC
Natussic,Butamirati citras 1.5 mg/1 ml,7.5 mg/5 ml,Syrop,OTC
Nutryelt,Zinci gluconas 69700 mcg/10 ml + Miedzi glukonian 2142.4 mcg/10 ml + manganu glukonian bezwodny 445.69 mcg/10 ml + Natrii fluoridum 2099.5 mcg/10 ml + Kalii iodidum 170.06 mcg/10 ml + Natrii selenas 153.32 mcg/10 ml + Natrii molybdas 50.432 mcg/10 ml + Chromium chloride hexahydricum 21.241 mcg/10 ml + żelaza glukonian dwuwodny 7988.2 mcg/10 ml,-,Koncentrat do sporządzania roztworu do infuzji,Rp
Budezonid LEK-AM,Budesonidum 0.4240 mg/kapsułkę,400 mcg/dawkę inh.,Proszek do inhalacji w kapsułkach twardych,Rp
Budezonid LEK-AM,Budesonidum 0.22 mg/kapsułkę,200 mcg/dawkę inh.,Proszek do inhalacji w kapsułkach twardych,Rp
Octanate LV,Factor VIII coagulationis humanus 100 j.m./ml,100 j.m./ml,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Octanate LV,Factor VIII coagulationis humanus 200 j.m./ml,200 j.m./ml,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Xaloptic Free,Latanoprostum 50 mcg/ml,0.05 mg/ml,Krople do oczu. roztwór,Rp
Copaxone,Glatirameri acetas 40 mg/ml,40 mg/ml,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Radirex MAX,Rhei radicis extractum siccum 375 mg,375 mg,Kapsułka. twarda,OTC
Carteol LP 2%,Carteololi hydrochloridum 20 mg/ml,20 mg/ml,Krople do oczu o przedłużonym uwalnianiu,Rp
Aurex 20,Citalopramum 20 mg,20 mg,Tabletki powlekane,Rp
Concor Cor 7.5,Bisoprololi fumaras 7.5 mg,7.5 mg,Tabletki powlekane,Rp
Concor Cor 3.75,Bisoprololi fumaras 3.75 mg,3.75 mg,Tabletki powlekane,Rp
Sinupret,Preparat złożony -,-,Tabletki drażowane,OTC
Eztom,Mometasoni furoas monohydricum 0.5173 mg/g,50 mcg/dawkę,Aerozol do nosa. zawiesina,Rp
Pantoprazol SUN,Pantoprazolum natricum sesquihydricum 45.12 mg,40 mg,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Mensinorm Set,Menotropinum 75 j.m.,75 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Mensinorm Set,Menotropina 150 j.m.,150 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Helituspan APTEO MED,Hederae helicis folii extractum siccum (5-7.5:1) ekstrahent - etanol 30% (m/m) 7.00 mg/ml,7 mg/ml,Syrop,OTC
Mituret,Hederae helicis folii extractum siccum (5-7.5:1) 5.4 mg/ml,,Syrop,OTC
Lafactin,Venlafaxinum 37.5 mg,37.5 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Lafactin,Venlafaxinum 75 mg,75 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Lafactin,Venlafaxinum 150 mg,150 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Digavar,Aceclofenacum 100 mg,100 mg,Tabletki powlekane,Rp
Vizidor,Dorzolamidi hydrochloridum 22.26 mg/1 ml,20 mg/ml,Krople do oczu. roztwór,Rp
Vizidor Duo,Dorzolamidum 20 mg + Timololum 5 mg,(20 mg + 5 mg)/ml,Krople do oczu. roztwór,Rp
Dexamethasone Krka,Dexamethasonum 4 mg,4 mg,Tabletki,Rp
Dexamethasone Krka,Dexamethasonum 8 mg,8 mg,Tabletki,Rp
Dexamethasone Krka,Dexamethasonum 20 mg,20 mg,Tabletki,Rp
Dexamethasone Krka,Dexamethasonum 40 mg,40 mg,Tabletki,Rp
Seasonique,Levonorgestrelum 150 mcg + Ethinylestradiolum 30 mcg + Ethinylestradiolum 10 mcg,150 mcg + 30 mcg (tabl. różowa); 10 mcg (tabl. biała),Tabletki powlekane,Rp
Runrapiq,Landiololi hydrochloridum 300 mg,300 mg,Proszek do sporządzania roztworu do infuzji,Rp
Neurovit,Thiamini hydrochloridum 100 mg + Pyridoxini hydrochloridum 200 mg + Cyanocobalaminum 0.2 mg,100 mg + 200 mg + 0.2 mg,Tabletki powlekane,Rp
Ambroksol Hasco,Ambroxoli hydrochloridum 30 mg,30 mg,Tabletki,OTC
Ambroksol Hasco Max,Ambroxoli hydrochloridum 60 mg,60 mg,Tabletki powlekane,OTC
Valused Noc Plus,Valerianae extractum hydroalcoholicum siccum 200 mg + Lupuli floris extractum siccum 50 mg + Passiflorae herba extractum siccum 50 mg,(154 mg + 34.75 mg + 20 mg)/tabl.,Tabletki powlekane,OTC
Bronchostop Duo na kaszel,Thymi herba extractum siccum (DER pierwotny 7-13:1. rozpuszczalnik ekstrakcyjny: woda)  - 1 g/100 g + Althaeae radicis extractum fluidum (DER 1:12-14). rozpuszczalnik ekstrakcyjny: woda - 4.96 g/100 g,(120 mg + 830 mg)/15 ml,Syrop,OTC
Bronchostop na kaszel,Thymi herba extractum 85 mg - (DER pierwotny 7-13:1). rozpuszczalnik ekstrakcyjny: woda + Wyciąg natywny 70% (59.5 mg),59.5 mg,Pastylki miękkie,OTC
Kventiax SR,Quetiapinum 50 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rp
Concor Cor 2.5,Bisoprololi fumaras 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Bloxazoc,Metoprololi succinas 23.75 mg,23.75 mg,Tabletki o przedłużonym uwalnianiu,Rp
Bloxazoc,Metoprololi succinas 47.5 mg,47.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Bloxazoc,Metoprololi succinas 95 mg,95 mg,Tabletki o przedłużonym uwalnianiu,Rp
Bloxazoc,Metoprololi succinas 190 mg,190 mg,Tabletki o przedłużonym uwalnianiu,Rp
Montelukast Medreg,Montelukastum 10 mg,10 mg,Tabletki powlekane,Rp
Soltopin,Mupirocinum 2.2 g/100 g,20 mg/g,Maść,Rp
Fulvestrant Teva,Fulvestrantum 250 mg/ 5 ml,250 mg/5 ml,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Calcium chloride DEMO,Calcii chloridum dihydricum 100 mg/ml,1 g/10 ml,Roztwór do infuzji,Rp
Benodil,Budesonidum 0.125 mg/ml,0.125 mg/ml,Zawiesina do nebulizacji,Rp
Benodil,Budesonidum 0.25 mg/ml,0.25 mg/ml,Zawiesina do nebulizacji,Rp
Benodil,Budesonidum 0.50 mg/ml,0.5 mg/ml,Zawiesina do nebulizacji,Rp
BDS N,Budesonidum,0.125 mg/ml,Zawiesina do nebulizacji,Rp
BDS N,Budesonidum,0.25 mg/ml,Zawiesina do nebulizacji,Rp
BDS N,Budesonidum 0.5 mg/ml,0.5 mg/ml,Zawiesina do nebulizacji,Rp
Levopront,Levodropropizinum 60 mg/10 ml,60 mg/10 ml,Syrop,OTC
Spastyna Max,Drotaverini hydrochloridum 80 mg,80 mg,Tabletki,OTC
Spastyna,Drotaverini hydrochloridum 40 mg,40 mg,Tabletki,OTC
Diagen,Gliclazidum 60 mg,60 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Vizitrav,Travoprostum 0.04 mg,0.04 mg,Krople do oczu. roztwór,Rp
Gliclada,Gliclazidum 90 mg,90 mg,Tabletki o przedłużonym uwalnianiu,Rp
Marvelon,Desogestrelum 0.15 mg + Ethinylestradiolum 0.03 mg,0.15 mg + 0.03 mg,Tabletki,Rp
Gliclazide Zentiva,Gliclazidum 60 mg,60 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Hastina 21,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Hastina 24+4,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Hastina 21+7,Ethinylestradiolum 0.02 mg + Drospirenonum 3 mg,0.02 mg + 3 mg,Tabletki powlekane,Rp
Relanium,Diazepamum 5 mg,5 mg,Tabletki,Rp
Tranxene,Dikalii clorazepas 5 mg,5 mg,Kapsułki twarde,Rp
Tobradex,Tobramycinum 3 mg + Dexamethasonum 1 mg,(1 mg + 3 mg)/ml,Krople do oczu. zawiesina,Rp
Tetralysal,Lymecyclinum 300 mg,300 mg,Kapsułki twarde,Rp
Nurofen dla dzieci forte pomarańczowy,Ibuprofenum 40 mg/ml,40 mg/ml,Zawiesina doustna,OTC
Nurofen dla dzieci forte truskawkowy,Ibuprofenum 40 mg/ml,40 mg/ml,Zawiesina doustna,OTC
Concor Cor 1.25,Bisoprololi fumaras 1.25 mg,1.25 mg,Tabletki powlekane,Rp
Tardyferon Fol,Ferrosi sulfas 80 mg Fe2+ + Acidum folicum 0.35 mg,80 mg Fe2+ + 0.35 mg,Tabletki o przedłużonym uwalnianiu,Rp
Proaxon,Citicolinum natricum 1.045 g/10 ml,1000 mg/10 ml,Roztwór doustny,Rp
Tiapridal,Tiapridum 100 mg,100 mg,Tabletki,Rp
Torvacard neo,Atorvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Torvacard neo,Atorvastatinum 20 mg,20 mg,Tabletki powlekane,Rp
Torvacard neo,Atorvastatinum 40 mg,40 mg,Tabletki powlekane,Rp
Torvacard neo,Atorvastatinum 80 mg,80 mg,Tabletki powlekane,Rp
Rasagiline ratiopharm,Rasagilinum 1 mg,1 mg,Tabletki,Rp
DIH MAX COMFORT,Diosminum 1000 mg,1000 mg,Tabletki powlekane,OTC
Prinivil,Lisinoprilum 5 mg,5 mg,Tabletki,Rp
Dialginum,Metamizolum natricum 0.5 g,500 mg,Proszek do sporządzania roztworu doustnego,OTC
Betaserc ODT,Betahistini dihydrochloridum 24 mg,24 mg,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Afobam,Alprazolamum 0.5 mg,0.5 mg,Tabletki,Rp
Afobam,Alprazolamum 0.25 mg,0.25 mg,Tabletki,Rp
Belosalic,Betamethasonum 0.5 mg + Acidum salicylicum 20 mg,(0.5 mg + 20 mg)/g,Płyn na skórę,Rp
Polfilin prolongatum,Pentoxifyllinum 400 mg,400 mg,Tabletki o przedłużonym uwalnianiu,Rp
Espumisan 100 mg/ml,Simeticonum 100 mg/ml,100 mg/ml,Krople doustne. emulsja,OTC
Gynalgin,Metronidazolum 250 mg + Chlorquinaldolum 100 mg,250 mg + 100 mg,Tabletki dopochwowe,Rp
Yasmin,Ethinylestradiolum 0.03 mg + Drospirenonum 3 mg,0.03 mg + 3 mg,Tabletki powlekane,Rp
Neurexan,Coffea arabica D12 0.6 mg + Avena sativa D2 0.6 mg + Zincum isovalerianicum D4 0.6 mg + Passiflora incarnata D2 0.6 mg,-,Tabletki,OTC
Fucibet Lipid,Acidum fusidicum 20 mg/g + Betamethasoni valeras 1 mg/g,(20 mg + 1 mg)/g,Krem,Rp
Skudexa,Tramadoli hydrochloridum 75 mg + Dexketoprofenum 25 mg,75 mg + 25 mg,Tabletki powlekane,Rp
Clopidogrel ratiopharm,Clopidogrelum 75 mg,75 mg,Tabletki powlekane,Rp
Aspirin C Forte,Acidum acetylsalicylicum 800 mg + Acidum ascorbicum 480 mg,800 mg + 480 mg,Tabletki musujące,OTC
Gynalgin,Metronidazolum 250 mg + Chlorquinaldolum 100 mg,250 mg + 100 mg,Tabletki dopochwowe,Rp
Hydrocortisonum-SF,Hydrocortisonum 10 mg,10 mg,Tabletki,Rp
Sinupret,Preparat złożony -,-,Tabletki drażowane,OTC
Augmentin,Amoxicillinum 875 mg + Acidum clavulanicum 125 mg,875 mg + 125 mg,Tabletki powlekane,Rp
Levalox,Levofloxacini hemihydras 250 mg,250 mg,Tabletki powlekane,Rp
Levalox,Levofloxacini hemihydras 500 mg,500 mg,Tabletki powlekane,Rp
Marelim,Acidum mycophenolicum 180 mg,180 mg,Tabletki dojelitowe,Rp
Marelim,Acidum mycophenolicum 360 mg,360 mg,Tabletki dojelitowe,Rp
Fludarabine Accord,Fludarabini phosphas 25 mg/ml,25 mg/ml,Koncentrat do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Fluimucil forte,Acetylcysteinum 600 mg,600 mg,Tabletki musujące,OTC
Etiagen XR,Quetiapini fumaras 57.5 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rp
Etiagen XR,Quetiapini fumaras 230 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rp
Valcyclox,Valganciclovirum 450 mg,450 mg,Tabletki powlekane,Rp
Etiagen XR,Quetiapini fumaras 345 mg,300 mg,Tabletki o przedłużonym uwalnianiu,Rp
Etiagen XR,Quetiapini fumaras 460 mg,400 mg,Tabletki o przedłużonym uwalnianiu,Rp
Difortan tabs,Meloxicamum 7.5 mg,7.5 mg,Tabletki,OTC
MeloxiMed Forte,Meloxicamum 15 mg,15 mg,Tabletki,Rp
Iburapid,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Iburapid,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Cresemba,Isavuconazolum 200 mg,200 mg,Proszek do sporządzania koncentratu roztworu do infuzji,Rp
Laboratoria PolfaŁodź IBUPROFEN MAX,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Sorbifer Durules,Ferrosi sulfas 100 mg + Acidum ascorbicum 60 mg,100 mg Fe(II) + 60 mg,Tabletki o przedłużonym uwalnianiu,Rp
Wamlox,Amlodipinum 5 mg + Valsartanum 80 mg,5 mg + 80 mg,Tabletki powlekane,Rp
Wamlox,Amlodipinum 5 mg + Valsartanum 160 mg,5 mg + 160 mg,Tabletki powlekane,Rp
Wamlox,Amlodipinum 10 mg + Valsartanum 160 mg,10 mg + 160 mg,Tabletki powlekane,Rp
Voriconazole Genoptim,Voriconazolum 200 mg,200 mg,Proszek do sporządzania roztworu do infuzji,Rp
Depakine Chrono 500,Natrii valproas 333 mg + Acidum valproicum 145 mg,333 mg + 145 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Asbima,Amlodipini besilas 5 mg + Valsartanum 80 mg,5 mg + 80 mg,Tabletki powlekane,Rp
Asbima,Amlodipini besilas 5 mg + Valsartanum 160 mg,5 mg + 160 mg,Tabletki powlekane,Rp
Asbima,Amlodipini besilas 10 mg + Valsartanum 160 mg,10 mg + 160 mg,Tabletki powlekane,Rp
Avasart Plus,Amlodipinum 5.00 mg + Valsartanum 80.00 mg,5 mg + 80 mg,Tabletki powlekane,Rp
Avasart Plus,Amlodipinum 5 mg + Valsartanum 160 mg,5 mg + 160 mg,Tabletki powlekane,Rp
Avasart Plus,Amlodipinum 10 mg + Valsartanum 160 mg,10 mg + 160 mg,Tabletki powlekane,Rp
Ceroxim,Cefuroximum 250 mg,250 mg,Tabletki powlekane,Rp
Ceroxim,Cefuroximum axetilum 500 mg,500 mg,Tabletki powlekane,Rp
Sarpin,Amlodipinum 10 mg + Valsartanum 160 mg,10 mg + 160 mg,Tabletki powlekane,Rp
Fusicutan plus,Acidum fusidicum 20.00 mg/g + Betamethasonum 1.00 mg/g,(20 mg + 1 mg)/g,Krem,Rp
Persen Noc,Valerianae extractum hydroalcoholicum siccum 445 mg,445 mg,Tabletki drażowane,OTC
Progesterone Besins,Progesteronum 100 mg,100 mg,Kapsułki miękkie,Rp
Telmidon,Telmisartanum 40 mg + Hydrochlorothiazidum 12.5 mg,40 mg + 12.5 mg,Tabletki,Rp
Telmidon,Telmisartanum 80 mg + Hydrochlorothiazidum 12.5 mg,80 mg + 12.5 mg,Tabletki,Rp
Telmidon,Telmisartanum 80 mg + Hydrochlorothiazidum 25 mg,80 mg + 25 mg,Tabletki,Rp
Progesterone Besins,Progesteronum 200 mg,200 mg,Kapsułki miękkie,Rp
Gynalgin,Metronidazolum 250 mg + Chlorquinaldolum 100 mg,250 mg + 100 mg,Tabletki dopochwowe,Rp
Inovox Express smak miętowy,Lidocaini hydrochloridum monohydricum 2 mg + Amylmetacresolum 0.6 mg + Alcohol 2.4-dichlorobenzylicus 1.2 mg,2 mg + 0.6 mg + 1.2 mg,Pastylki twarde,OTC
Inovox Express smak pomarańczowy,Lidocaini hydrochloridum monohydricum 2 mg + Amylmetacresolum 0.6 mg + Alcohol 2.4-dichlorobenzylicus 1.2 mg,2 mg + 0.6 mg + 1.2 mg,Pastylki twarde,OTC
Inovox Express smak miodowo-cytrynowy,Lidocaini hydrochloridum monohydricum 2 mg + Amylmetacresolum 0.6 mg + Alcohol 2.4-dichlorobenzylicus 1.2 mg,2 mg + 0.6 mg + 1.2 mg,Pastylki twarde,OTC
Physioneal 35 Clear-Flex,Glucosum anhydricum 18.2 g,-,Roztwór do dializy otrzewnowej,Rp
Metizol,Thiamazolum 5 mg,5 mg,Tabletki,Rp
Bedicort salic,Betamethasonum 0.5 mg/g + Acidum salicylicum 20 mg/g,(0.5 mg + 20 mg)/g,Roztwór na skórę,Rp
Physioneal 35 Clear-Flex,Glucosum anhydricum 30.3 g + Calcii chloridum dihydricum 0.343 g + Magnesii chloridum hexahydricum 0.068 g + Natrii chloridum 21.12 g + Natrii hydrocarbonas 9.29 g + Sodu (S)-mleczan 4.48 g,-,Roztwór do dializy otrzewnowej,Rp
Mixtard 40 Penfill,Insulinum humanum 100 j.m./ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
Mixtard 50 Penfill,Insulinum humanum 100 j.m./1 ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
Physioneal 35 Clear-Flex,Glucosum anhydricum 51.5 g,-,Roztwór do dializy otrzewnowej,Rp
Physioneal 40 Clear-Flex,Glucosum anhydricum 18.2 g,-,Roztwór do dializy otrzewnowej,Rp
